297: 1.745796, 1.891708 avg, 0.000760 rate, 10.162924 seconds, 19008 images
298: 1.701481, 1.872685 avg, 0.000770 rate, 10.163125 seconds, 19072 images
299: 1.603756, 1.845792 avg, 0.000781 rate, 10.147289 seconds, 19136 images
300: 1.706917, 1.831904 avg, 0.000791 rate, 10.188345 seconds, 19200 images
301: 1.722013, 1.820915 avg, 0.000802 rate, 9.237107 seconds, 19264 images
302: 1.368268, 1.775651 avg, 0.000812 rate, 9.332649 seconds, 19328 images
303: 1.843186, 1.782404 avg, 0.000823 rate, 9.329100 seconds, 19392 images
304: 1.651396, 1.769303 avg, 0.000834 rate, 9.331523 seconds, 19456 images
305: 1.723749, 1.764748 avg, 0.000845 rate, 9.391305 seconds, 19520 images
306: 1.817850, 1.770058 avg, 0.000856 rate, 9.376076 seconds, 19584 images
307: 1.596372, 1.752689 avg, 0.000867 rate, 9.322303 seconds, 19648 images
308: 1.879932, 1.765414 avg, 0.000879 rate, 9.358486 seconds, 19712 images
309: 1.654432, 1.754315 avg, 0.000890 rate, 9.397421 seconds, 19776 images
310: 1.612013, 1.740085 avg, 0.000902 rate, 9.328908 seconds, 19840 images
311: 1.694530, 1.735530 avg, 0.000914 rate, 10.065465 seconds, 19904 images
312: 1.645063, 1.726483 avg, 0.000925 rate, 10.157248 seconds, 19968 images
313: 1.486830, 1.702518 avg, 0.000937 rate, 10.147129 seconds, 20032 images
314: 1.427010, 1.674967 avg, 0.000949 rate, 10.155906 seconds, 20096 images
315: 1.803596, 1.687830 avg, 0.000961 rate, 10.168878 seconds, 20160 images
316: 1.819801, 1.701027 avg, 0.000974 rate, 10.158439 seconds, 20224 images
317: 1.507682, 1.681693 avg, 0.000986 rate, 10.201330 seconds, 20288 images
318: 1.630282, 1.676552 avg, 0.000999 rate, 10.153761 seconds, 20352 images
319: 1.445624, 1.653459 avg, 0.001011 rate, 10.156159 seconds, 20416 images
320: 1.578321, 1.645945 avg, 0.001024 rate, 10.159588 seconds, 20480 images
321: 1.759877, 1.657338 avg, 0.001037 rate, 4.212747 seconds, 20544 images
322: 1.487004, 1.640305 avg, 0.001050 rate, 4.247933 seconds, 20608 images
323: 1.629042, 1.639179 avg, 0.001063 rate, 4.216135 seconds, 20672 images
324: 1.836039, 1.658865 avg, 0.001076 rate, 4.246488 seconds, 20736 images
325: 1.657156, 1.658694 avg, 0.001090 rate, 4.215996 seconds, 20800 images
326: 1.578829, 1.650707 avg, 0.001103 rate, 4.214189 seconds, 20864 images
327: 1.542300, 1.639867 avg, 0.001117 rate, 4.222274 seconds, 20928 images
328: 1.566037, 1.632484 avg, 0.001130 rate, 4.221069 seconds, 20992 images
329: 1.696594, 1.638895 avg, 0.001144 rate, 4.228750 seconds, 21056 images
330: 1.420150, 1.617020 avg, 0.001158 rate, 4.235384 seconds, 21120 images
331: 1.514326, 1.606751 avg, 0.001172 rate, 5.778498 seconds, 21184 images
